5493001KQW6DM7KEDR62
2019-06-06T11:44:17Z
PRO
MIXXXXXXT
001.30
TRADE-DATE;CUSTOMER-TRANSACTION-ID;ACTION-TYPE;BUSINESS-UNIT;USER-ID;MIFIR-REPORTING;COMMENT;TRADE-REPORT-ID;SOURCE-SYSTEM;RECORD-MODE;USER-FIELD1;USER-FIELD2;USER-FIELD3;USER-FIELD4;USER-FIELD5;USER-FIELD6;USER-FIELD7;USER-FIELD8;USER-FIELD9;PARTIAL-ASSISTANCE-FLAG;PARTIAL-ASSISTANCE-SUBMITTER-ID;PAIRING-ID;EXECUTING-ENTITY-ID-TYPE;EXECUTING-ENTITY-ID;MIFID-INVESTMENT-FIRM;BRANCH-MEMBERSHIP-COUNTRY;BUYER-ID-TYPE;BUYER-ID;BUYER-BRANCH-COUNTRY;BUYER-FIRSTNAME;BUYER-SURNAME;BUYER-BIRTHDATE;BUYER-DECISION-MAKER-ID-TYPE;BUYER-DECISION-MAKER-ID;BUYER-DECISION-FIRSTNAME;BUYER-DECISION-SURNAME;BUYER-DECISION-BIRTHDATE;SELLER-ID-TYPE;SELLER-ID;SELLER-BRANCH-COUNTRY;SELLER-FIRSTNAME;SELLER-SURNAME;SELLER-BIRTHDATE;SELLER-DECISION-MAKER-ID-TYPE;SELLER-DECISION-MAKER-ID;SELLER-DECISION-FIRST-NAME;SELLER-DECISION-SURNAME;SELLER-DECISION-BIRTHDATE;TRANSMISSION-IND;TRANSMITTING-ENTITY-BUYER-ID-TYPE;TRANSMITTING-ENTITY-BUYER-ID;TRANSMITTING-ENTITY-SELLER-ID-TYPE;TRANSMITTING-ENTITY-SELLER-ID;TRN-REF-NUMBER;TRADING-VENUE-TRN-ID-CODE;VENUE;TRADE-TIME;MIFIR-TRADING-CAPACITY;QUANTITY-NOTATION;QUANTITY;QUANTITY-CURRENCY;NOTIONAL-INCREASE-DECREASE;PRICE-NOTATION;PRICE;PRICE-CURRENCY;NET-AMOUNT;UPFRONT-PAYMENT;UPFRONT-PAYMENT-CURRENCY;COMPLEX-TRADE-COMPONENT-ID;INSTRUMENT-ID-TYPE;INSTRUMENT-ID;INSTRUMENT-NAME;INSTRUMENT-CLASS;NOTIONAL-CURRENCY-1;NOTIONAL-CURRENCY-2;PRICE-MULTIPLIER;UNDERLYING-INSTRUMENT-DIRECTION;UNDERLYING-INSTRUMENT-CODE;UNDERLYING-INDEX-DIRECTION;UNDERLYING-INDEX-CODE;UNDERLYING-INDEX-NAME;UNDERLYING-INDEX-TERM;UNDERLYING-INDEX-TERM-UNIT;OPTION-TYPE;STRIKE-PRICE-NOTATION;STRIKE-PRICE;STRIKE-PRICE-CURRENCY;OPTION-EXERCISE-STYLE;MATURITY-DATE-INSTRUMENT;EXPIRY-DATE;DELIVERY-TYPE;INVESTMENT-DECISION-ID-TYPE;INVESTMENT-DECISION-ID;INVESTMENT-DECISION-BRANCH-COUNTRY;EXECUTION-ID-TYPE;EXECUTION-ID;SUPERVISING-BRANCH-COUNTRY;WAIVER-INDICATOR;SHORT-SELLING-INDICATOR;OTC-POST-TRADE-INDICATOR;COMMODITY-DERIVATIVE-INDICATOR;SFTR-INDICATOR;CLIENT-TYPE;ORDER-TYPE;DIRECTED-ORDER-FLAG;LIQP-FLAG;ORDER-GROUP-ID;TOAX-FLAG
2019-06-06;YCDYZNMZ3J267507356L0A0;N;;;Y;;;;;;;;;;;;;;;;;LEI;5493001KQW6DM7KEDR62;Y;DE;LEI;5493001KQW6DM7KEDR62;DE;;;;LEI;5493001KQW6DM7KEDR62;;;;LEI;O2RNE8IBXP4R0TD8PU41;FR;;;;LEI;O2RNE8IBXP4R0TD8PU41;;;;N;;;;;YCDYZNMZ3J267507356L0A0;YCDYZNMZ3J267507356L0A0;TRAL;09:30:59.488000Z;DEAL;NOMINAL;200000000;USD;;MONETARY;1.1232668;EUR;178052088.78;;;;ISIN;EZ39PBPNLZD3;;;;;;;;;;;;;;;;;;;;;NATIONAL_ID_CONCAT;DE19770211WEIHULV### ;DE;NATIONAL_ID_CONCAT;DE19780223XIAODWANG#;DE;;;;;N;;;;;;
2019-06-06;YCDYZNMZ3J267507356L1A0;N;;;Y;;;;;;;;;;;;;;;;;LEI;5493001KQW6DM7KEDR62;Y;DE;LEI;O2RNE8IBXP4R0TD8PU41;FR;;;;LEI;O2RNE8IBXP4R0TD8PU41;;;;LEI;5493001KQW6DM7KEDR62;DE;;;;LEI;5493001KQW6DM7KEDR62;;;;N;;;;;YCDYZNMZ3J267507356L1A0;YCDYZNMZ3J267507356L1A0;TRAL;09:30:59.488000Z;DEAL;NOMINAL;200000000;USD;;MONETARY;1.12362;EUR;177996119.68;;;;ISIN;EZ6B0KQTPP44;;;;;;;;;;;;;;;;;;;;;NATIONAL_ID_CONCAT;DE19770211WEIHULV### ;DE;NATIONAL_ID_CONCAT;DE19780223XIAODWANG#;DE;;;;;N;;;;;;
2019-06-06;YCDYZNMZ3J267510728L0A0;N;;;Y;;;;;;;;;;;;;;;;;LEI;5493001KQW6DM7KEDR62;Y;DE;LEI;5493001KQW6DM7KEDR62;DE;;;;LEI;5493001KQW6DM7KEDR62;;;;LEI;1VUV7VQFKUOQSJ21A208;FR;;;;LEI;1VUV7VQFKUOQSJ21A208;;;;N;;;;;YCDYZNMZ3J267510728L0A0;YCDYZNMZ3J267510728L0A0;TRAL;09:40:23.812000Z;DEAL;NOMINAL;200000000;USD;;MONETARY;1.123125;EUR;178074568.73;;;;ISIN;EZ2D0GYJ37P4;;;;;;;;;;;;;;;;;;;;;NATIONAL_ID_CONCAT;DE19770211WEIHULV### ;DE;NATIONAL_ID_CONCAT;DE19780223XIAODWANG#;DE;;;;;N;;;;;;
2019-06-06;YCDYZNMZ3J267510728L1A0;N;;;Y;;;;;;;;;;;;;;;;;LEI;5493001KQW6DM7KEDR62;Y;DE;LEI;1VUV7VQFKUOQSJ21A208;FR;;;;LEI;1VUV7VQFKUOQSJ21A208;;;;LEI;5493001KQW6DM7KEDR62;DE;;;;LEI;5493001KQW6DM7KEDR62;;;;N;;;;;YCDYZNMZ3J267510728L1A0;YCDYZNMZ3J267510728L1A0;TRAL;09:40:23.812000Z;DEAL;NOMINAL;200000000;USD;;MONETARY;1.12339;EUR;178032562.16;;;;ISIN;EZ6B0KQTPP44;;;;;;;;;;;;;;;;;;;;;NATIONAL_ID_CONCAT;DE19770211WEIHULV### ;DE;NATIONAL_ID_CONCAT;DE19780223XIAODWANG#;DE;;;;;N;;;;;;
NOL;11
